Creating config files for runtime_packed_noisy_base_q4_spsa_joined:
Configuration file written. Path: /work/qgan/data/train/base-runtime_packed-joined-q4-noisy-SPSA-aerCPU-rand0-seed0/config.yaml

1 battery configuration files ready.

Running: /work/qgan/data/train/base-runtime_packed-joined-q4-noisy-SPSA-aerCPU-rand0-seed0/config.yaml
Training data file created.
              Epoch |     Generator cost | Discriminator cost |               Eval |          Best eval |               Time |
                850 |             -0.979 |             -0.246 |               2.31 |               2.21 |                175 |
                860 |             -0.983 |             -0.253 |                2.2 |                2.2 |                180 |
                870 |             -0.992 |             -0.268 |               2.13 |               2.13 |                188 |
                880 |                 -1 |              -0.26 |               2.24 |               2.13 |                187 |
                890 |             -0.986 |             -0.251 |               2.26 |               2.13 |                186 |
                900 |             -0.979 |             -0.259 |                2.3 |               2.13 |                186 |
                910 |             -0.993 |             -0.258 |               2.27 |               2.13 |                190 |
                920 |             -0.967 |             -0.259 |               2.24 |               2.13 |                188 |
                930 |             -0.986 |             -0.257 |               2.18 |               2.13 |                189 |
                940 |             -0.984 |             -0.265 |               2.21 |               2.13 |                191 |
                950 |             -0.985 |             -0.257 |               2.18 |               2.13 |                192 |
                960 |             -0.987 |             -0.254 |                2.1 |                2.1 |                191 |
                970 |             -0.985 |             -0.263 |               2.08 |               2.08 |                191 |
                980 |             -0.995 |             -0.264 |               1.99 |               1.99 |                193 |
                990 |             -0.972 |             -0.256 |               1.96 |               1.96 |                193 |
Training complete: 
   Data path: /work/qgan/data/train/base-runtime_packed-joined-q4-noisy-SPSA-aerCPU-rand0-seed0 
   Best eval: 1.9312359933069732 
   Total time: 18675.932231903076
1 battery run(s) succeeded.
