Creating config files for qml_torch_rh_grad:
Configuration file written. Path: /work/qgan/data/train/base-qml_torch-q4-real-PSR-aerCPU-rand0-seed0/config.yaml

1 battery configuration files ready.

Running: /work/qgan/data/train/base-qml_torch-q4-real-PSR-aerCPU-rand0-seed0/config.yaml
Backend file created.
Training data file created.
              Epoch |     Generator cost | Discriminator cost |               Eval |          Best eval |               Time |
                 83 |             -0.356 |             -0.743 |               1.47 |               1.47 |                299 |
                 84 |             -0.352 |             -0.734 |               1.46 |               1.46 |                300 |
                 85 |             -0.353 |             -0.737 |               1.44 |               1.44 |                302 |
                 86 |             -0.366 |             -0.736 |               1.42 |               1.42 |                301 |
                 87 |             -0.387 |             -0.736 |               1.41 |               1.41 |                309 |
                 88 |             -0.363 |             -0.733 |                1.4 |                1.4 |                300 |
                 89 |             -0.377 |              -0.73 |               1.38 |               1.38 |                300 |
                 90 |              -0.37 |             -0.737 |               1.37 |               1.37 |                299 |
                 91 |             -0.383 |             -0.734 |               1.36 |               1.36 |                301 |
                 92 |             -0.386 |             -0.727 |               1.35 |               1.35 |                305 |
                 93 |              -0.39 |             -0.735 |               1.34 |               1.34 |                303 |
                 94 |             -0.395 |              -0.73 |               1.33 |               1.33 |                302 |
Training complete: 
   Data path: /work/qgan/data/train/base-qml_torch-q4-real-PSR-aerCPU-rand0-seed0 
   Best eval: 1.3287671969151982 
   Total time: 28750.938522338867
Run failed: /work/qgan/data/train/base-qml_torch-q4-real-PSR-aerCPU-rand0-seed0/config.yaml
   Error: QiskitMachineLearningError: "Estimator job failed. 'Unable to retrieve job result. Error code 1217; Session has been closed'"
   Traceback saved: /work/qgan/data/train/base-qml_torch-q4-real-PSR-aerCPU-rand0-seed0/error_traceback.txt
0 battery run(s) succeeded.
1 battery run(s) failed.
