Creating config files for qml_torch_rh_grad:
Configuration file rewritten. Path: /work/qgan/data/train/base-qml_torch-q4-real-PSR-aerCPU-rand0-seed0/config.yaml

1 battery configuration files ready.

Running: /work/qgan/data/train/base-qml_torch-q4-real-PSR-aerCPU-rand0-seed0/config.yaml
Backend file created.
              Epoch |     Generator cost | Discriminator cost |               Eval |          Best eval |               Time |
                180 |             -0.568 |             -0.684 |               1.91 |               1.25 |                306 |
                181 |             -0.555 |             -0.694 |               1.92 |               1.25 |                302 |
                182 |             -0.553 |             -0.689 |               1.93 |               1.25 |                306 |
                183 |             -0.566 |             -0.689 |               1.94 |               1.25 |                305 |
                184 |             -0.554 |             -0.694 |               1.96 |               1.25 |                304 |
                185 |              -0.56 |              -0.69 |               1.98 |               1.25 |                301 |
                186 |             -0.546 |               -0.7 |               2.02 |               1.25 |                303 |
                187 |             -0.551 |             -0.689 |               2.08 |               1.25 |                302 |
                188 |             -0.539 |             -0.697 |               2.16 |               1.25 |                305 |
                189 |             -0.521 |               -0.7 |                2.3 |               1.25 |                300 |
Training complete: 
   Data path: /work/qgan/data/train/base-qml_torch-q4-real-PSR-aerCPU-rand0-seed0 
   Best eval: 1.2522631658283698 
   Total time: 75162.29203033447
Run failed: /work/qgan/data/train/base-qml_torch-q4-real-PSR-aerCPU-rand0-seed0/config.yaml
   Error: IBMRuntimeError: 'Failed to run program: \'400 Client Error: Bad Request for url: https://eu-de.quantum.cloud.ibm.com/api/v1/jobs. {"errors":[{"code":1217,"message":"Session has been closed.","solution":"Increase the session `max_time` if possible, or keep session active by reducing the time between jobs.  For details, see the [Session length](https://quantum.cloud.ibm.com/docs/guides/run-jobs-session#session-length) guide.","more_info":"https://cloud.ibm.com/apidocs/quantum-computing#error-handling"}],"trace":"e57ed9dc-b48b-49f4-831e-b7f3fe65c2ba"}\\n\''
   Traceback saved: /work/qgan/data/train/base-qml_torch-q4-real-PSR-aerCPU-rand0-seed0/error_traceback.txt
0 battery run(s) succeeded.
1 battery run(s) failed.
